Titles,Labels
Using the transit of Venus to probe the upper planetary atmosphere,astro-ph.EP
"Cosmic-ray exposure ages of fossil micrometeorites from mid-Ordovician
  sediments at Lynna River, Russia",astro-ph.EP
"Mass-Loss Rates of ""Hot-Jupiter"" Exoplanets with Various Types of
  Gaseous Envelopes",astro-ph.EP
"A hot big bang theory: magnetic fields and the early evolution of the
  protolunar disk",astro-ph.EP
"Highly stable evolution of Earth's future orbit despite chaotic behavior
  of the Solar System",astro-ph.EP
"Chaos in navigation satellite orbits caused by the perturbed motion of
  the Moon",astro-ph.EP
Bayesian priors for the eccentricity of transiting planets,astro-ph.EP
"Evidence of Different Formation Mechanisms for Hot versus Warm
  Super-Earths",astro-ph.EP
A Traveling Feature in Saturn's Rings,astro-ph.EP
Impact-induced melting during accretion of the Earth,astro-ph.EP
"The Discovery of Ellipsoidal Variations in the Kepler Light Curve of
  HAT-P-7",astro-ph.EP
"Effects of Chemistry on Vertical Dust Motion in Early Protoplanetary
  Disks",astro-ph.EP
"A Machine Learns to Predict the Stability of Tightly Packed Planetary
  Systems",astro-ph.EP
"The O2 A-band in fluxes and polarization of starlight reflected by
  Earth-like exoplanets",astro-ph.EP
A phase-space model for Pleistocene ice volume,astro-ph.EP
Seasonal Mass Transfer on the Nucleus of Comet 67P/Chuyumov-Gerasimenko,astro-ph.EP
The evaporation valley in the Kepler planets,astro-ph.EP
"Petrographic and geochemical evidence for multiphase formation of
  carbonates in the Martian orthopyroxenite Allan Hills 84001",astro-ph.EP
"The influence of orbital resonances on the water transport to objects in
  the circumprimary habitable zone of binary star systems",astro-ph.EP
"Self-gravity in thin discs and edge effects: an extension of Paczynski's
  approximation",astro-ph.EP
Forming Planetesimals in Solar and Extrasolar Nebulae,astro-ph.EP
Forecasted masses for seven thousand KOIs,astro-ph.EP
Searching for the signatures of terrestial planets in solar analogs,astro-ph.EP
Coevolution of Binaries and Gaseous Discs,astro-ph.EP
Faint young Sun paradox remains,astro-ph.EP
Stellar Mass Dependent Disk Dispersal,astro-ph.EP
Planetesimal formation near the snowline: in or out?,astro-ph.EP
"Low energy secondary cosmic ray flux (gamma rays) monitoring and its
  constrains",astro-ph.EP
Star Hoppers: Planet Instability and Capture in Evolving Binary Systems,astro-ph.EP
Dynamical Evolution of Young Embedded Clusters: A Parameter Space Survey,astro-ph.EP
KeSeF - Kepler Self Follow-up Mission,astro-ph.EP
"Planetesimal Formation in Magnetorotationally Dead Zones: Critical
  Dependence on the Net Vertical Magnetic Flux",astro-ph.EP
Evidence of Rocky Planetesimals Orbiting Two Hyades Stars,astro-ph.EP
"Follow-up Observations of the Neptune Mass Transiting Extrasolar Planet
  HAT-P-11b",astro-ph.EP
Rapidly rotating plane layer convection with zonal flow,astro-ph.EP
Asteroseismology of Eclipsing Binary Stars in the Kepler Era,astro-ph.EP
Substellar Companions to Seven Evolved Intermediate-Mass Stars,astro-ph.EP
"Data analysis of 2005 Regulus occultation and simulation of the 2014
  occultation",astro-ph.EP
"Hot Big Planets Kepler Survey: Measuring the Repopulation Rate of the
  Shortest-Period Planets",astro-ph.EP
"Star-Disc-Binary Interactions in Protoplanetary Disc Systems and
  Primordial Spin-Orbit Misalignments",astro-ph.EP
"Quantum effects on Lagrangian points and displaced periodic orbits in
  the Earth-Moon system",astro-ph.EP
"Reliable inference of exoplanet light curve parameters using
  deterministic and stochastic systematics models",astro-ph.EP
The potential for super-Nyquist asteroseismology with TESS,astro-ph.EP
"Observing Exoplanets with High-Dispersion Coronagraphy. II.
  Demonstration of an Active Single-Mode Fiber Injection Unit",astro-ph.EP
Low-energy capture of asteroids onto KAM tori,astro-ph.EP
The OSIRIS-REx Thermal Emission Spectrometer (OTES) Instrument,astro-ph.EP
"The discovery of a very cool, very nearby brown dwarf in the Galactic
  plane",astro-ph.EP
"Fast and accurate frequency-dependent radiation transport for
  hydrodynamics simulations in massive star formation",astro-ph.EP
"First limits on the occurrence rate of short-period planets orbiting
  brown dwarfs",astro-ph.EP
"Characterizing K2 Candidate Planetary Systems Orbiting Low-Mass Stars
  II: Planetary Systems Observed During Campaigns 1-7",astro-ph.EP
"No snow-plough mechanism during the rapid hardening of supermassive
  black hole binaries",astro-ph.EP
"IAU 2015 Resolution B3 on Recommended Nominal Conversion Constants for
  Selected Solar and Planetary Properties",astro-ph.EP
Evaluating the wind-induced mechanical noise on the InSight seismometers,astro-ph.EP
Multiple Disk Gaps and Rings Generated by a Single Super-Earth,astro-ph.EP
Coupled orbital-thermal evolution of Miranda,astro-ph.EP
"A Technique for Extracting Highly Precise Photometry for the Two-Wheeled
  Kepler Mission",astro-ph.EP
Explicit Solution to the Constant Radial Acceleration Problem,astro-ph.EP
"On the low-frequency boundary of Sun-generated MHD turbulence in the
  slow solar wind",astro-ph.EP
"OGLE-2015-BLG-0196: Ground-based Gravitational Microlens Parallax
  Confirmed By Space-Based Observation",astro-ph.EP
"Implementation and performance of FDPS: A Framework Developing Parallel
  Particle Simulation Codes",astro-ph.EP
The Dynamic Radio Sky: An Opportunity for Discovery,astro-ph.EP
No Excess of RR Lyrae Stars in the Canis Major Overdensity,astro-ph.GA
Cold Atomic Gas in the CGPS and Beyond,astro-ph.GA
Exploring the Sagittarius Stream with SEKBO Survey RR Lyrae Stars,astro-ph.GA
"Expanded Very Large Array observations of the H66ë± and
  He66ë± recombination lines toward MWC 349A",astro-ph.GA
"Theoretical Modeling of Star-Forming Galaxies I. Emission Line
  Diagnostic Grids for Local and Low-Metallicity Galaxies",astro-ph.GA
The efficiency of star formation in clustered and distributed regions,astro-ph.GA
"BIMA N2H+ 1-0 mapping observations of L183 -- fragmentation and spin-up
  in a collapsing, magnetized, rotating, pre-stellar core",astro-ph.GA
Does External Pressure Explain Recent Results for Molecular Clouds?,astro-ph.GA
Discovery of New Interacting Supernova Remnants in the Inner Galaxy,astro-ph.GA
"The Presence of Two Distinct Red Giant Branches in the Globular Cluster
  NGC 1851",astro-ph.GA
"Diffuse Interstellar Bands: How Are They Related to Known Gas-Phase
  Constituents of the ISM?",astro-ph.GA
"The degeneracy between the dust colour temperature and the spectral
  index. The problem of multiple chi^2 minima",astro-ph.GA
"Constraints on sterile neutrino dark matter from XMM--Newton observation
  of M33",astro-ph.GA
Internal Structure of Stellar Clusters: Geometry of Star Formation,astro-ph.GA
"The Mass-Size Relation from Clouds to Cores. I. A new Probe of Structure
  in Molecular Clouds",astro-ph.GA
Search for corannulene (C20H10) in the Red Rectangle,astro-ph.GA
On the Origin of the Salpeter Slope for the Initial Mass Function,astro-ph.GA
"Radio-continuum study of Large Magellanic Cloud Supernova Remnant
  J0509-6731",astro-ph.GA
Interstellar H$_2$O Masers from J Shocks,astro-ph.GA
The nature of the UV halo around the spiral galaxy NGC 3628,astro-ph.GA
"On the pulse-width statistics in radio pulsars. III. Importance of the
  conal profile components",astro-ph.GA
"APEX/SABOCA observations of small-scale structure of infrared-dark
  clouds I. Early evolutionary stages of star-forming cores",astro-ph.GA
Galactic kinematics and dynamics from RAVE stars,astro-ph.GA
"Asymmetric streaming motion in the Galactic bulge X-shaped structure
  revealed by the OGLE-III proper motions",astro-ph.GA
Interactions of the Infrared bubble N4 with the surroundings,astro-ph.GA
"Strong Far-IR Cooling Lines, Peculiar CO Kinematics and Possible Star
  Formation Suppression in Hickson Compact Group 57",astro-ph.GA
"Tidal Stream Morphology as an Indicator of Dark Matter Halo Geometry:
  the Case of Palomar 5",astro-ph.GA
"The evolution of amorphous hydrocarbons in the ISM: dust modelling from
  a new vantage point",astro-ph.GA
Visibility moments and power spectrum of turbulence velocity,astro-ph.GA
"An Empirical Model for the Galaxy Luminosity and Star-Formation Rate
  Function at High Redshift",astro-ph.GA
A detailed framework to incorporate dust in hydrodynamical simulations,astro-ph.GA
"Hierarchical Galaxy Growth and Scatter in the Stellar Mass - Halo Mass
  Relation",astro-ph.GA
"The IAC Stripe 82 Legacy Project: a wide-area survey for faint surface
  brightness astronomy",astro-ph.GA
ObservaciÌ_n de lentes gravitatorias con ALMA,astro-ph.GA
"Radiation-driven outflows from and radiative support in dusty tori of
  active galactic nuclei",astro-ph.GA
"Suppression of star formation in dwarf galaxies by grain photoelectric
  feedback",astro-ph.GA
"Spectral Line Survey toward Molecular Clouds in the Large Magellanic
  Cloud",astro-ph.GA
Is the Dark Halo of the Milky Way Prolate?,astro-ph.GA
"Massive black hole and gas dynamics in mergers of galaxy nuclei - II.
  Black hole sinking in star-forming nuclear discs",astro-ph.GA
"Modelling Mechanical Heating in Star-Forming Galaxies: CO and 13CO Line
  Ratios as Sensitive Probes",astro-ph.GA
Does the Milky Way Obey Spiral Galaxy Scaling Relations?,astro-ph.GA
"Morphology and the Color-Mass Diagram as Clues to Galaxy Evolution at
  z~1",astro-ph.GA
The Gaia-ESO Survey: low-alpha element stars in the Galactic Bulge,astro-ph.GA
Spatial environment of polar-ring galaxies from the SDSS,astro-ph.GA
"Morphological evolution of cluster red sequence galaxies in the past 9
  Gyr",astro-ph.GA
"The unorthodox evolution of major merger remnants into star-forming
  spiral galaxies",astro-ph.GA
"Candidate star clusters toward the inner Milky Way discovered on
  deep-stacked Ks-band images from the VVV Survey",astro-ph.GA
"The evolving relations between size, mass, surface density, and star
  formation in 3x10^4 galaxies since z=2",astro-ph.GA
The Smith Cloud: high-velocity accretion and dark-matter confinement,astro-ph.GA
"Understanding the Scatter in the Spatially-resolved Star Formation Main
  Sequence of Local Massive Spiral Galaxies",astro-ph.GA
Molecular clouds: X-ray mirrors of the Galactic nuclear activity,astro-ph.GA
"Spectroscopic properties of luminous Lyman-ë± emitters at $z
  \approx 6 - 7$ and comparison to the Lyman-break population",astro-ph.GA
The Chandra X-ray view of the power sources in Cepheus A,astro-ph.GA
"Fantastic Striations and Where to Find Them: Origin of Magnetically
  Aligned Striations in Interstellar Clouds",astro-ph.GA
"The ASTRODEEP Frontier Fields Catalogues III. Multiwavelength photometry
  and rest frame properties of MACS-J0717 and MACS-J1149",astro-ph.GA
"Study of NGC 5128 Globular Clusters Under Multivariate Statistical
  Paradigm",astro-ph.GA
On the Baryon Fractions in Clusters and Groups of Galaxies,astro-ph.GA
"Probing interstellar turbulence in spiral galaxies using HI power
  spectrum analysis",astro-ph.GA
Cosmic Voids in Sloan Digital Sky Survey Data Release 7,astro-ph.GA
Outside-in stellar formation in the spiral galaxy M33?,astro-ph.GA
"Regulation of Star Formation Rates in Multiphase Galactic Disks: a
  Thermal/Dynamical Equilibrium Model",astro-ph.GA
"New Rotation Periods in the Open Cluster NGC 1039 (M 34), and a
  Derivation of its Gyrochronology Age",astro-ph.GA
"Density-Wave Induced Morphological Transformation of Galaxies along the
  Hubble Sequence",astro-ph.GA
"Measuring the Clump Mass Function in the Age of SCUBA2, Herschel, and
  ALMA",astro-ph.GA
"ALMA will determine the spectroscopic redshift z>8 with FIR [O III]
  emission lines",astro-ph.GA
"A thin diffuse component of the Galactic Ridge X-ray emission and
  heating of the interstellar medium contributed by the radiation of Galactic
  X-ray binaries",astro-ph.GA
On the VLBI measurement of the Solar System acceleration,astro-ph.GA
"Does disk fragmentation prevent the formation of supermassive stars in
  protogalaxies?",astro-ph.GA
"An analysis of the deuterium fractionation of star-forming cores in the
  Perseus molecular cloud",astro-ph.GA
"Large-Scale Outflows from AGN: a link between central black holes and
  galaxies",astro-ph.GA
"The AGN fraction of submm-selected galaxies and contributions to the
  submm/mm-wave extragalactic background light",astro-ph.GA
"X-ray emission from the Ultramassive Black Hole candidate NGC1277:
  implications and speculation on its origin",astro-ph.GA
A rotating molecular jet in Orion,astro-ph.GA
Phantom of RAMSES (POR): A new Milgromian dynamics N-body code,astro-ph.GA
"The imprint of the cosmic supermassive black hole growth history on the
  21 cm background radiation",astro-ph.GA
Variable stars in the VVV globular clusters. I. 2MASS-GC02 and Terzan10,astro-ph.GA
On the diffuse soft X-ray emission from the nuclear region of M51,astro-ph.GA
Deuterium Enrichment of the Interstellar Medium,astro-ph.GA
JVLA S and X-band Polarimetry of the Merging Cluster Abell 2256,astro-ph.GA
"Galaxy pairs in the Sloan Digital Sky Survey - XII: The fuelling
  mechanism of low excitation radio-loud AGN",astro-ph.GA
The frequency and nature of `cloud-cloud collisions' in galaxies,astro-ph.GA
Broadband nuclear emission in two radio-loud BAL quasars,astro-ph.GA
"A deep Chandra observation of the hot gaseous halo around a rare,
  extremely massive and relativistic jet launching spiral galaxy",astro-ph.GA
"Cygnus OB2 DANCe: A high precision proper motion study of the Cygnus OB2
  association",astro-ph.GA
"The Auriga Project: the properties and formation mechanisms of disc
  galaxies across cosmic time",astro-ph.GA
"H$ë±$ Imaging spectroscopy of Balmer-dominated shocks in Tycho's
  supernova remnant",astro-ph.GA
"The VIMOS Public Extragalactic Redshift Survey (VIPERS): Galaxy
  segregation inside filaments at $z \simeq 0.7$",astro-ph.GA
"Formation of proto-cluster: a virialized structure from gravo-turbulent
  collapse I. Simulation of cluster formation in collapsing molecular cloud",astro-ph.GA
Cold Fronts: Probes of Plasma Astrophysics in Galaxy Clusters,astro-ph.GA
"Evidence for a non-universal stellar initial mass function in
  low-redshift high-density early-type galaxies",astro-ph.GA
Simulating the growth of Intermediate Mass Black Holes,astro-ph.GA
Timing of pulsars found in a deep Parkes multibeam survey,astro-ph.GA
Ultra Low Surface Brightness Imaging with the Dragonfly Telephoto Array,astro-ph.GA
"Nonequilibrium Statistical Mechanics of Systems with Long-Range
  Interactions: Ubiquity of Core-Halo Distributions",astro-ph.GA
"A Multi-Wavelength Analysis of Dust and Gas in the SR 24S Transition
  Disk",astro-ph.GA
Solar constraints on asymmetric dark matter,astro-ph.GA
ExoMol molecular line lists: IX The spectrum of AlO,astro-ph.GA
"Collisions of Terrestrial Worlds: The Occurrence of Extreme Mid-Infrared
  Excesses around Low-Mass Field Stars",astro-ph.GA
Dissipative dark matter halos: The steady state solution,astro-ph.GA
Testing General Relativity with the Shadow Size of Sgr A*,astro-ph.GA
"Spectral Survey of X-Ray Bright Active Galactic Nuclei from the Rossi
  X-ray Timing Explorer",astro-ph.HE
X-ray variation statistics and wind clumping in Vela X-1,astro-ph.HE
A numerical model for multigroup radiation hydrodynamics,astro-ph.HE
"Stochastic Electron Acceleration in the TeV Supernova Remnant RX
  J1713.7-3946: The High-Energy Cut-off",astro-ph.HE
"Effects of Neutral Hydrogen on Cosmic Ray Precursors in Supernova
  Remnant Shock Waves",astro-ph.HE
"The influence of corotation on the high energy synchrotron emission in
  Crab-like pulsars",astro-ph.HE
"Quiet but still bright: XMM-Newton observations of the soft gamma-ray
  repeater SGR 0526-66",astro-ph.HE
"A search for counterparts of gamma-ray pulsars detected by the FERMI
  Large Area Telescope",astro-ph.HE
On the hadronic cascade scenario for extreme BL Lacs,astro-ph.HE
Modelling the VHE flare of 3C 279 using one zone leptonic model,astro-ph.HE
The Future of X-ray Time Domain Surveys,astro-ph.HE
"The influence of jet geometry on light curves and spectra of GRB
  afterglows",astro-ph.HE
Accretion Disc Theory since Shakura and Sunyaev,astro-ph.HE
"Questions on accreting mass and minimum magnetic field of millisecond
  pulsars",astro-ph.HE
Fermi-LAT Search for Pulsar Wind Nebulae around gamma-ray Pulsars,astro-ph.HE
"Photopion Production in Black-Hole Jets and Flat-Spectrum Radio Quasars
  as PeV Neutrino Sources",astro-ph.HE
Non-linear model of particle acceleration at colliding shock flows,astro-ph.HE
"Looking for Stars and Finding the Moon: Effects of Lunar Gamma-ray
  Emission on Fermi LAT Light Curves",astro-ph.HE
Asteroseismic model of paramagnetic neutron star,astro-ph.HE
A combined GMRT/CLFST image of IC443 at 150 MHz,astro-ph.HE
"An implicit advection scheme for modeling relativistic shocks with high
  Lorentz factors",astro-ph.HE
Fermi-LAT Observation of Impulsive Solar Flares,astro-ph.HE
The Be/X-ray binary system V 0332+53: A Short Review,astro-ph.HE
"No flares from Gamma-Ray Burst afterglow blast waves encountering sudden
  circumburst density change",astro-ph.HE
"Gamma-ray flaring activity from the gravitationally lensed blazar PKS
  1830-211 observed by Fermi LAT",astro-ph.HE
Photometrically Triggered Keck Spectroscopy of Fermi BL Lac Objects,astro-ph.HE
Quasi-star jets as unidentified gamma-ray sources,astro-ph.HE
"Long-Term Radio Timing Observations of the Transition Millisecond Pulsar
  PSR~J1023+0038",astro-ph.HE
A Dark Year for Tidal Disruption Events,astro-ph.HE
"Magnetohydrodynamic Turbulence Powered by Magnetorotational Instability
  in Nascent Proto-Neutron Stars",astro-ph.HE
"A minimal width of the arrival direction distribution of ultra-high
  energy cosmic rays detected with the Yakutsk array",astro-ph.HE
"Search for gamma-ray emission from four accreting millisecond pulsars
  with Fermi/LAT",astro-ph.HE
